s_obs,chao,L_CI,U_CI,date
60,81.402,67.552,120.655,1/6/21
54,81.99,61.343,160.694,1/8/21
57,128.974,68.774,496.982,1/13/21
49,66.991,53.537,120.341,1/15/21
56,160.959,95.129,337.539,1/20/21
49,61.245,51.201,117.137,1/22/21
55,103.977,65.852,276.041,1/26/21
41,61.152,45.663,128.092,1/29/21
64,109.234,74.642,256.266,2/3/21
52,92.484,58.281,312.94,2/5/21
57,106.98,64.918,372.503,2/10/21
52,115.097,62.71,423.734,2/15/21
60,100.988,70.123,225.965,2/17/21
129,256.976,170.93,519.599,2/19/21
11,13.993,11.356,36.18,2/20/21
65,128.978,79.596,345.434,2/24/21
51,63.094,54.031,99.26,2/26/21
66,105.78,78.211,195.595,3/3/21
53,93.483,59.281,313.936,3/5/21
24,68.94,37.607,172.423,3/6/21
64,75.871,67.163,108.55,3/9/21
57,81.99,62.068,180.223,3/12/21
61,148.595,76.164,566.988,3/17/21
53,60.373,54.798,83.229,3/19/21
68,140.225,84.68,380.728,3/24/21
61,82.117,66.484,142.308,3/26/21
23,27.496,23.494,63.886,3/29/21
62,100.238,73.482,189.348,3/31/21
54,98.98,67.538,203.447,4/2/21
28,34.245,28.972,68.098,4/5/21
72,276.813,108.899,1208.846,4/7/21
69,125.232,81.654,318.885,4/9/21
25,29.497,25.495,65.889,4/13/21
80,127.983,96.308,221.184,4/14/21
61,126.978,82.966,259.175,4/16/21
56,133.968,83.079,280.486,4/19/21
3,3,3,4.494,4/20/21
82,126.363,97.255,211.007,4/21/21
60,259.918,94.989,1202.258,4/23/21
16,19.991,16.556,44.661,4/26/21
77,212.958,130.663,421.458,4/28/21
67,202.952,120.683,411.295,4/30/21
27,76.927,34.909,342.17,5/3/21
73,102.993,81.439,179.595,5/5/21
59,143.469,72.993,568.882,5/7/21
21,33.483,22.663,114.712,5/10/21
63,93.24,69.303,208.08,5/12/21
18,42.459,21.584,184.932,5/17/21
57,113.225,69.652,306.855,5/19/21
56,160.953,95.127,337.524,5/21/21
20,27.116,21.554,52.588,5/24/21
59,156.961,75.408,643.878,5/26/21
44,52.163,45.571,86.403,5/28/21
58,67.996,60.398,99.677,6/2/21
64,263.926,98.991,1206.303,6/4/21
50,92.227,59.193,243.959,6/9/21
44,64.156,48.664,131.106,6/11/21
20,25.989,21.069,53.564,6/14/21
36,51.988,39.017,120.729,6/16/21
46,61.991,49.017,130.746,6/18/21
21,33.485,22.663,114.723,6/21/21
47,78.027,55.421,161.32,6/23/21
40,55.992,43.018,124.75,6/25/21
24,26.664,24.377,42.846,6/28/21
47,82.982,54.677,215.638,6/30/21
44,79.981,54.186,171.097,7/2/21
52,100.977,62.852,273.039,7/7/21
44,67.985,49.715,144.657,7/9/21
14,14.999,14.09,25.051,7/12/21
46,106.472,55.748,421.155,7/16/21
44,128.448,57.99,553.756,7/21/21
46,81.984,56.183,173.157,7/23/21
16,36.959,21.102,102.1,7/24/21
48,145.951,64.406,632.821,7/28/21
43,73.234,49.302,188.051,7/30/21
49,153.948,88.144,330.371,8/4/21
46,70.49,49.588,213.143,8/6/21
46,173.923,67.817,796.081,8/11/21
44,128.454,57.991,553.792,8/13/21
45,75.236,51.302,190.059,8/18/21
39,40,39.09,50.06,8/20/21
50,106.221,62.651,299.836,8/25/21
48,119.964,59.772,487.92,8/27/21
39,70.982,43.837,250.452,9/1/21
40,64.486,43.588,207.119,9/3/21
51,99.139,63.679,233.775,9/8/21
51,91.484,57.281,311.94,9/10/21
54,108.978,71.469,227.021,9/15/21
48,138.957,80.813,300.135,9/17/21
44,51.996,45.69,81.822,9/22/21
58,162.962,97.125,339.584,9/24/21
67,155.131,91.828,379.835,9/29/21
59,74.12,62.686,121.024,10/1/21
55,85.24,61.303,200.078,10/6/21
48,200.923,109.991,425.24,10/8/21
56,73.992,60.537,127.347,10/13/21
52,119.721,68.463,330.574,10/15/21
54,89.985,61.678,222.655,10/20/21
52,87.987,62.173,179.301,10/22/21
119,583.906,351.19,1049.866,10/27/21
9,11.988,9.358,33.953,10/28/21
60,157.969,76.409,644.922,10/29/21
74,111.487,83.553,221.102,11/3/21
56,76.243,59.974,159.127,11/5/21
51,122.967,62.773,490.943,11/10/21
39,54.992,42.018,123.752,11/12/21
64,161.966,80.408,648.906,11/17/21
53,137.465,66.993,562.86,11/19/21
42,251.84,132.784,527.025,11/21/21
52,76.99,57.068,175.222,11/24/21
58,91.863,63.492,266.796,11/26/21
52,251.888,86.984,1194.09,11/29/21
64,131.725,80.464,342.593,12/1/21
76,246.95,146.86,488.42,12/3/21
58,162.963,97.125,339.586,12/8/21
56,93.484,65.552,203.087,12/15/21
48,88.481,54.281,308.921,12/17/21
52,87.982,59.677,220.64,12/22/21
31,55.976,36.065,154.156,12/24/21
27,98.927,38.766,466.7,12/26/21
31,71.467,37.278,291.829,12/28/21
81,261.45,112.409,1117.719,12/29/21
30,101.932,41.767,469.73,12/30/21
44,115.96,55.771,483.896,12/31/21
